open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0
0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,2,21,6,1
0,0,0,0,0,-1,-2,-5,2,1,0,-1,2,1,0,5,35,2,1
0,0,0,0,0,0,-1,0,-1,-1,0,0,-2,0,1,2,26,-2,0
0,0,-1,0,0,0,1,-2,0,0,0,0,0,0,0,1,20,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,11,2,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,9,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,13,-3,1
0,0,0,0,0,0,-2,0,-1,-1,0,0,-2,0,1,5,30,-3,0
0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,3,14,3,0
0,-1,0,0,0,0,-2,4,-2,0,0,-1,-3,-1,1,3,34,-2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,5,1,1
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,6,-1,0
